window_id,window_start,window_end,claim_count,gx_failure_count,anomaly_score,anomaly_frequency,affected_claim_pct,volume_deviation,amount_deviation,historical_quality_failure_rate,investigation_risk_indicator,investigation_risk_label
2015-02-25,2015-02-25,2015-02-25,1,6,0.0,0.0,0.0,0.0,13527.377733613472,33.799887066859135,0.008385894314952583,1
2015-02-26,2015-02-26,2015-02-26,0,6,0.0,0.0,0.0,0.0,0.0,33.799887066859135,0.0,0
2015-02-27,2015-02-27,2015-02-27,0,6,0.0,0.0,0.0,0.0,0.0,33.799887066859135,0.0,0
2015-02-28,2015-02-28,2015-02-28,0,6,0.0,0.0,0.0,0.0,0.0,33.799887066859135,0.0,0
2015-03-01,2015-03-01,2015-03-01,0,6,0.0,0.0,0.0,0.0,0.0,33.799887066859135,0.0,0
2015-03-02,2015-03-02,2015-03-02,2,6,0.0,0.0,0.0,0.0,13513.057733613472,33.799887066859135,0.008377017058106881,1
2015-03-03,2015-03-03,2015-03-03,0,6,0.0,0.0,0.0,0.0,0.0,33.799887066859135,0.0,0
2015-03-04,2015-03-04,2015-03-04,1,6,0.0,0.0,0.0,0.0,13473.307733613472,33.799887066859135,0.008352375231318007,1
2015-03-05,2015-03-05,2015-03-05,0,6,0.0,0.0,0.0,0.0,0.0,33.799887066859135,0.0,0
2015-03-06,2015-03-06,2015-03-06,0,6,0.0,0.0,0.0,0.0,0.0,33.799887066859135,0.0,0
2015-03-07,2015-03-07,2015-03-07,12,6,0.0,0.0,0.0,0.0,91115.38226638651,33.799887066859135,0.05648426333610762,1
2015-03-08,2015-03-08,2015-03-08,2,6,0.0,0.0,0.0,0.0,33926.292266386525,33.799887066859135,0.021031592896024902,1
2015-03-09,2015-03-09,2015-03-09,16,6,0.0,0.0,0.0,0.0,11825.789608613472,33.799887066859135,0.007331045513889595,0
2015-03-10,2015-03-10,2015-03-10,3,6,0.0,0.0,0.0,0.0,13493.511066946805,33.799887066859135,0.00836489968516852,1
2015-03-11,2015-03-11,2015-03-11,5,6,0.0,0.0,0.0,0.0,3838.365733613471,33.799887066859135,0.002379480341133331,0
2015-03-12,2015-03-12,2015-03-12,5,6,0.0,0.0,0.0,0.0,8164.436125512348,33.799887066859135,0.005061298637325671,0
2015-03-13,2015-03-13,2015-03-13,5,6,0.0,0.0,0.0,0.0,13022.323733613472,33.799887066859135,0.00807280115301478,1
2015-03-14,2015-03-14,2015-03-14,9,6,0.0,0.0,0.0,0.0,6252.979955835693,33.799887066859135,0.0038763484021635216,0
2015-03-15,2015-03-15,2015-03-15,32,6,0.0,0.0,0.0,0.0,43624.89070388653,33.799887066859135,0.027043949695816416,1
2015-03-16,2015-03-16,2015-03-16,15,6,0.0,0.0,0.0,0.0,4896.399733613473,33.799887066859135,0.0030353769591141824,0
2015-03-17,2015-03-17,2015-03-17,23,6,0.0,0.0,0.0,0.0,11630.227733613472,33.799887066859135,0.007209812762939726,0
